,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
349,5BZBJ0213+1213,02 13 05.17,+12 13 10.88
350,5BZQJ0213+1820,02 13 10.52,+18 20 25.4
351,5BZGJ0214+5144,02 14 17.93,+51 44 52.0
352,5BZQJ0215-0222,02 15 42.01,-02 22 56.78
353,5BZQJ0216-0118,02 16 05.65,-01 18 03.31
354,5BZQJ0216-0105,02 16 12.21,-01 05 18.81
355,5BZBJ0216+2314,02 16 32.09,+23 14 50.2
356,5BZQJ0216-7331,02 16 44.63,-73 31 40.4
357,5BZQJ0216-3247,02 16 48.18,-32 47 40.88
358,5BZBJ0216-6636,02 16 50.84,-66 36 42.51
359,5BZUJ0217-0820,02 17 02.65,-08 20 52.4
360,5BZBJ0217+0837,02 17 17.12,+08 37 04.0
361,5BZQJ0217+7349,02 17 30.8,+73 49 32.59
362,5BZQJ0217-7251,02 17 35.69,-72 51 27.89
363,5BZQJ0217-7347,02 17 45.11,-73 47 23.2
364,5BZQJ0217+0144,02 17 48.95,+01 44 49.7
365,5BZQJ0218-0923,02 18 34.37,-09 23 38.4
366,5BZBJ0219-1725,02 19 05.5,-17 25 13.11
367,5BZQJ0219+0120,02 19 07.01,+01 20 59.89
368,5BZBJ0219-1842,02 19 21.16,-18 42 38.7
369,5BZQJ0220-1305,02 20 28.21,-13 05 19.1
370,5BZQJ0220-2151,02 20 35.15,-21 51 12.09
371,5BZBJ0220-0842,02 20 48.46,-08 42 50.4
372,5BZUJ0220+2509,02 20 51.24,+25 09 27.61
373,5BZQJ0220-6330,02 20 54.17,-63 30 19.4
374,5BZUJ0221+3556,02 21 05.46,+35 56 13.7
375,5BZQJ0222-1615,02 22 00.72,-16 15 16.48
376,5BZBJ0222+4302,02 22 39.6,+43 02 07.79
377,5BZQJ0222-3441,02 22 56.4,-34 41 28.71
378,5BZBJ0223-1117,02 23 14.23,-11 17 38.29
379,5BZQJ0223-5347,02 23 30.87,-53 47 39.91
380,5BZQJ0223-1656,02 23 43.75,-16 56 37.71
381,5BZQJ0224+0659,02 24 28.43,+06 59 23.31
382,5BZQJ0225+1846,02 25 04.67,+18 46 48.79
383,5BZGJ0225+3710,02 25 27.35,+37 10 27.58
384,5BZUJ0226+0937,02 26 13.68,+09 37 26.68
385,5BZBJ0226-4441,02 26 38.86,-44 41 22.41
386,5BZQJ0227+3931,02 27 07.3,+39 31 40.11
387,5BZBJ0227+0202,02 27 16.59,+02 01 59.98
388,5BZQJ0227-0848,02 27 32.08,-08 48 12.2
389,5BZQJ0227-3026,02 27 40.54,-30 26 03.58
390,5BZQJ0228-5546,02 28 21.6,-55 46 03.28
391,5BZQJ0228-3719,02 28 33.72,-37 19 56.31
392,5BZQJ0228+6721,02 28 50.04,+67 21 02.98
393,5BZQJ0228-0337,02 28 53.21,-03 37 37.09
394,5BZQJ0229-3643,02 29 28.44,-36 43 56.78
395,5BZQJ0229-7847,02 29 34.95,-78 47 45.6
396,5BZQJ0229-1031,02 29 59.39,-10 31 17.61
397,5BZQJ0230+4032,02 30 45.71,+40 32 53.08
398,5BZQJ0231-4746,02 31 11.8,-47 46 11.6
399,5BZQJ0231-5841,02 31 16.92,-58 41 06.79
400,5BZQJ0231+1322,02 31 45.89,+13 22 54.69
401,5BZQJ0231-3935,02 31 51.82,-39 35 47.29
402,5BZGJ0232+2017,02 32 48.6,+20 17 17.3
403,5BZBJ0233+3442,02 33 20.41,+34 42 54.0
404,5BZQJ0233+0229,02 33 49.19,+02 29 25.11
405,5BZQJ0235-4737,02 35 06.41,-47 37 10.59
406,5BZBJ0235-2938,02 35 36.72,-29 38 43.4
407,5BZQJ0236-2953,02 36 31.17,-29 53 55.49
408,5BZQJ0236-6136,02 36 53.24,-61 36 15.19
409,5BZQJ0237+0526,02 37 14.04,+05 26 49.99
410,5BZBJ0237-3603,02 37 34.02,-36 03 28.51
411,5BZQJ0237+2848,02 37 52.4,+28 48 08.99
412,5BZBJ0238-0924,02 38 13.66,-09 24 31.39
413,5BZBJ0238-3116,02 38 32.49,-31 16 58.18
414,5BZBJ0238+1636,02 38 38.93,+16 36 59.29
415,5BZQJ0239-7626,02 39 00.49,-76 26 42.21
416,5BZQJ0239-0234,02 39 45.47,-02 34 40.9
417,5BZQJ0239+0416,02 39 51.25,+04 16 21.39
418,5BZQJ0240+4216,02 40 05.25,+42 16 22.51
419,5BZQJ0240+1848,02 40 42.82,+18 48 00.1
420,5BZBJ0240-0504,02 40 56.15,-05 04 41.98
421,5BZUJ0241-0815,02 41 04.8,-08 15 20.8
422,5BZQJ0242+2653,02 42 20.82,+26 53 37.71
423,5BZUJ0242+1742,02 42 24.27,+17 42 58.78
424,5BZQJ0242+1101,02 42 29.16,+11 01 00.69
425,5BZBJ0243+0046,02 43 02.93,+00 46 27.29
426,5BZQJ0243-0550,02 43 12.47,-05 50 55.28
427,5BZBJ0243+7120,02 43 30.88,+71 20 17.91
428,5BZBJ0244-5819,02 44 40.29,-58 19 54.51
429,5BZQJ0245+2405,02 45 16.86,+24 05 35.19
430,5BZGJ0245-1107,02 45 24.95,-11 07 16.78
431,5BZQJ0246-4651,02 46 00.12,-46 51 17.2
432,5BZQJ0246-2945,02 46 10.17,-29 45 22.39
433,5BZQJ0246+1823,02 46 11.82,+18 23 30.08
434,5BZQJ0246-1236,02 46 58.47,-12 36 30.81
435,5BZBJ0248-1631,02 48 07.72,-16 31 46.41
436,5BZQJ0249+0619,02 49 18.01,+06 19 51.88
437,5BZQJ0250-2731,02 50 14.39,-27 31 28.81
438,5BZBJ0250-2129,02 50 18.95,-21 29 40.3
439,5BZUJ0250+1712,02 50 37.96,+17 12 08.89
440,5BZQJ0251-6000,02 51 26.23,-60 00 06.3
441,5BZQJ0251+4315,02 51 34.54,+43 15 15.8
442,5BZQJ0251+3734,02 51 59.22,+37 34 18.4
443,5BZQJ0252-2219,02 52 47.94,-22 19 25.5
444,5BZBJ0253-0124,02 53 15.59,-01 24 05.29
445,5BZQJ0253+0006,02 53 21.04,+00 06 00.0
